ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
95,UYMVD_2009_5_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/05/09,"27,81",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
96,UYMVD_2009_5_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/05/09,"27,72",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
97,UYMVD_2009_5_21_24,UYMVD_PM2_D ,24,PM2,ug/m3,21/05/09,"29,63",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
98,UYMVD_2009_5_27_24,UYMVD_PM2_D ,24,PM2,ug/m3,27/05/09,"15,95",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
99,UYMVD_2009_6_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/06/09,"53,61",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
100,UYMVD_2009_6_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/06/09,"37,65",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
101,UYMVD_2009_6_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/06/09,"99,08",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
102,UYMVD_2009_6_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/06/09,"79,06",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
103,UYMVD_2009_6_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/06/09,"39,63",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
104,UYMVD_2009_7_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/07/09,"49,83",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
105,UYMVD_2009_7_9_24,UYMVD_PM2_D ,24,PM2,ug/m3,09/07/09,"22,85",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
106,UYMVD_2009_7_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/07/09,"39,97",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
107,UYMVD_2009_7_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/07/09,"31,62",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
108,UYMVD_2009_8_5_24,UYMVD_PM2_D ,24,PM2,ug/m3,05/08/09,"51,55",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
109,UYMVD_2009_8_23_24,UYMVD_PM2_D ,24,PM2,ug/m3,23/08/09,"105,02",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
110,UYMVD_2009_8_27_24,UYMVD_PM2_D ,24,PM2,ug/m3,27/08/09,"37,77",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
111,UYMVD_2009_9_8_24,UYMVD_PM2_D ,24,PM2,ug/m3,08/09/09,"22,95",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
112,UYMVD_2009_9_14_24,UYMVD_PM2_D ,24,PM2,ug/m3,14/09/09,"59,39",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
113,UYMVD_2009_10_2_24,UYMVD_PM2_D ,24,PM2,ug/m3,02/10/09,"26,79",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
114,UYMVD_2009_10_8_24,UYMVD_PM2_D ,24,PM2,ug/m3,08/10/09,"39,43",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
115,UYMVD_2009_11_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/11/09,"27,7",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
116,UYMVD_2009_11_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/11/09,"60,49",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
117,UYMVD_2009_11_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/11/09,82,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
118,UYMVD_2009_11_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/11/09,"33,77",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
119,UYMVD_2009_12_1_24,UYMVD_PM2_D ,24,PM2,ug/m3,01/12/09,"98,49",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
120,UYMVD_2009_12_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/12/09,"34,29",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
121,UYMVD_2009_12_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/12/09,"50,49",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
122,UYMVD_2009_12_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/12/09,"82,77",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
123,UYMVD_2009_12_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/12/09,"45,8",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
124,UYMVD_2009_12_31_24,UYMVD_PM2_D ,24,PM2,ug/m3,31/12/09,"25,53",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
125,UYMVD_2010_1_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/01/10,"34,93",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
126,UYMVD_2010_1_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/01/10,"30,75",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
127,UYMVD_2010_1_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/01/10,22,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
128,UYMVD_2010_1_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/01/10,"24,89",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
129,UYMVD_2010_2_5_24,UYMVD_PM2_D ,24,PM2,ug/m3,05/02/10,"20,28",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
130,UYMVD_2010_2_11_24,UYMVD_PM2_D ,24,PM2,ug/m3,11/02/10,"33,46",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
131,UYMVD_2010_2_17_24,UYMVD_PM2_D ,24,PM2,ug/m3,17/02/10,"37,35",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
132,UYMVD_2010_2_23_24,UYMVD_PM2_D ,24,PM2,ug/m3,23/02/10,"18,13",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
133,UYMVD_2010_3_1_24,UYMVD_PM2_D ,24,PM2,ug/m3,01/03/10,"34,2",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
134,UYMVD_2010_3_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/03/10,"29,03",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
135,UYMVD_2010_3_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/03/10,"38,29",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
136,UYMVD_2010_3_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/03/10,"30,18",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
137,UYMVD_2010_3_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/03/10,"46,99",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
138,UYMVD_2010_4_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/04/10,"36,55",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
139,UYMVD_2010_4_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/04/10,"34,81",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
140,UYMVD_2010_4_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/04/10,"63,95",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
141,UYMVD_2010_5_7_24,UYMVD_PM2_D ,24,PM2,ug/m3,07/05/10,"84,77",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
142,UYMVD_2010_5_13_24,UYMVD_PM2_D ,24,PM2,ug/m3,13/05/10,"67,22",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
143,UYMVD_2010_5_19_24,UYMVD_PM2_D ,24,PM2,ug/m3,19/05/10,"35,92",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
144,UYMVD_2010_5_25_24,UYMVD_PM2_D ,24,PM2,ug/m3,25/05/10,"59,25",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
145,UYMVD_2010_5_31_24,UYMVD_PM2_D ,24,PM2,ug/m3,31/05/10,"50,42",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
146,UYMVD_2010_6_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/06/10,"33,31",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
147,UYMVD_2010_6_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/06/10,"33,41",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
148,UYMVD_2010_6_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/06/10,"33,34",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
149,UYMVD_2010_6_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/06/10,"57,5",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
150,UYMVD_2010_6_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/06/10,"39,53",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
151,UYMVD_2010_7_6_24,UYMVD_PM2_D ,24,PM2,ug/m3,06/07/10,21,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
152,UYMVD_2010_7_12_24,UYMVD_PM2_D ,24,PM2,ug/m3,12/07/10,"34,76",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
153,UYMVD_2010_7_18_24,UYMVD_PM2_D ,24,PM2,ug/m3,18/07/10,"20,4",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
154,UYMVD_2010_7_24_24,UYMVD_PM2_D ,24,PM2,ug/m3,24/07/10,"16,53",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
155,UYMVD_2010_7_30_24,UYMVD_PM2_D ,24,PM2,ug/m3,30/07/10,"40,77",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
156,UYMVD_2010_8_5_24,UYMVD_PM2_D ,24,PM2,ug/m3,05/08/10,"46,91",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
157,UYMVD_2010_8_11_24,UYMVD_PM2_D ,24,PM2,ug/m3,11/08/10,"35,17",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
158,UYMVD_2010_8_17_24,UYMVD_PM2_D ,24,PM2,ug/m3,17/08/10,"49,69",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
159,UYMVD_2010_8_23_24,UYMVD_PM2_D ,24,PM2,ug/m3,23/08/10,"54,41",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
160,UYMVD_2010_8_29_24,UYMVD_PM2_D ,24,PM2,ug/m3,29/08/10,"21,06",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
161,UYMVD_2010_9_4_24,UYMVD_PM2_D ,24,PM2,ug/m3,04/09/10,"14,7",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
162,UYMVD_2010_9_10_24,UYMVD_PM2_D ,24,PM2,ug/m3,10/09/10,40,UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
163,UYMVD_2010_9_22_24,UYMVD_PM2_D ,24,PM2,ug/m3,22/09/10,"6,38",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
164,UYMVD_2010_9_28_24,UYMVD_PM2_D ,24,PM2,ug/m3,28/09/10,"21,21",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
165,UYMVD_2010_10_10_24,UYMVD_PM2_D ,24,PM2,ug/m3,10/10/10,"6,05",UYMVD_E1,572452193,6137044286,Ciudad Vieja 2
